  No    Ref    V       B-V     U-B

 0001   137   9.400   0.760  -0.180
 0001   158   9.490   0.680  -0.230
 0002   137  10.660   0.690  -0.200
 0002   158  10.700   0.660  -0.270
 0003   158  10.390   0.660  -0.170
 0004   158   9.700   0.750  -0.250
 0005   137  10.950   0.790   0.010
 0005   158  11.050   0.690  -0.020
 0006   137  11.810   0.740  -0.080
 0006   158  11.820   0.740  -0.110
 0007   137  10.440   0.640   0.210
 0007   158  10.480   0.620   0.100
 0008   158  10.320   1.090   0.970
 0009   158  12.090   1.120   0.210
 0010   137  12.720   0.790   0.020
 0010   158  12.710   0.810   0.060
 0011   137  11.780   0.740  -0.090
 0011   158  11.840   0.680  -0.120
 0012   158  11.220   0.480  -0.080
 0013   158   9.300   0.870  -0.160
 0014   158  10.740   0.590  -0.260
 0015   158  11.070   0.480  -0.380
 0016   158   8.320  -0.060  -0.220
 0017   158   9.780   0.510  -0.390
 0018   158  11.410   0.260   0.030
 0019   158  13.510   0.940   0.650
 0020   158  12.260   1.360   1.060
 0021   158  13.010   0.500   0.380
 0022   137  14.060   0.970   0.390
 0022   158  14.210   0.910   0.200
 0023   137  12.360   0.730  -0.070
 0023   158  12.350   0.710  -0.050
 0024   137  13.820   0.610   0.050
 0024   158  13.900   0.610   0.270
 0025   137  14.740   0.620   0.620
 0026   137  12.850   1.130   0.120
 0026   158  12.720   1.110   0.150
 0027   137  14.090   0.930   0.300
 0027   158  14.040   0.930   0.350
 0028   137  12.720   1.900   1.690
 0029   137  14.390   0.930   0.450
 0029   158  14.410   0.950   0.500
 0030   137  12.850   0.760   0.110
 0030   158  12.860   0.750   0.020
 0031   137  12.820   0.560   0.140
 0031   158  12.850   0.550   0.100
 0032   137  13.710   0.920   0.300
 0032   158  13.730   0.910   0.200
 0033   137  12.460   2.290   1.740
 0034   158  12.230   1.050  -0.100
 0035   158  13.230   0.870   0.310
 0036   158  13.810   0.710   0.380
 0037   158  12.940   0.510   0.030
 0038   158  13.320   0.610   0.170
 0039   137  13.140   0.860   0.100
 0039   158  13.150   0.830   0.050
 0040   158  13.610   0.600   0.090
 0101   158  14.230   1.100   0.640
 0102   158  10.200   0.360  -0.070
 0103   158  14.650   1.220   0.130
 0104   158  12.480   0.560   0.070
 0105   158  13.150   0.950   0.780
 0106   158  14.940   0.880   1.530
 0107   158  14.480   0.860   0.650
 0108   158  10.300   1.130   1.020
 0110   158  15.400   1.240   0.610
 0111   158  15.090   0.960   0.890
 0112   158  14.580   0.770   0.590
 0113   158  14.950   0.820   0.550
 0114   158  12.920   1.130   1.050
 0115   158  13.830   1.100   0.340
 0116   158  13.590   0.960   0.530
 0117   158  13.060   0.630   0.110
 0118   158  13.250   0.790   0.310
 0119   158  14.120   0.950   0.220
 0120   158  14.800   0.860   0.130
 0121   158  13.750   0.720   0.210
 0122   158  12.040   1.640   1.500
 0123   158  13.740   0.650   0.280
 0124   158  14.760   1.100   0.240
 0125   158  15.150   1.070   1.280
 0127   158  14.230   0.960   0.460
 0128   158  14.210   0.800   1.070
 0131   158  13.950   0.710  -0.040
 0132   137  13.990   0.930   0.510
 0132   158  13.900   0.940   0.650
 0133   158  11.980   1.480   1.150
 0134   137  13.380   0.840   0.130
 0134   158  13.410   0.760   0.100
 0136   158  14.860   1.000   0.170
 0138   158  13.480   0.680   0.170
 0141   158  13.840   0.680   0.050
 0146   158  14.890   1.000   0.030
 0147   158  13.650   0.830   0.680
 0148   158  14.670   0.850   0.340
 0149   158  10.970   0.640  -0.170
 0150   158  14.580   1.040   0.800
 0151   158  13.270   0.660   0.110
 0152   158  14.290   0.780   0.690
 0153   158  14.340   0.640   0.490
 0154   158  11.200   0.680   0.210
 0155   158  14.900   0.640   0.620
 0156   137  14.370   0.740   0.370
 0156   158  14.390   0.860   0.440
 0157   158  15.120   0.750   0.570
 0158   158  13.800   0.600   0.130
 0159   158  14.580   0.930   1.010
 0160   158  14.740   0.840   0.270
 0169   158  14.310   0.960   0.080
 0171   158  13.760   0.780   0.170
 0172   158  17.000   0.130  -0.840
 0175   137  14.780   0.890   0.420
 0175   158  14.850   0.820   0.050
 0176   158  11.030   1.130   0.860
 0178   158  14.450   0.680   0.470
 0181   158  13.060   0.390  -0.070
 0182   158  15.160   1.050   0.020
 0183   158  15.020   0.900   0.140
 0184   158  14.060   0.570   0.310
 0185   158  11.760   1.520   1.340
 0186   158  13.820   0.920   0.570
 0187   158  13.100   0.740   0.310
 0189   158  14.730   0.750   0.230
 0190   158  12.140   1.390   1.190
 0191   158  13.890   1.000   0.610
 0192   158  12.890   0.870   0.270
 0194   158  13.550   0.730   0.550
 0195   158  13.600   0.640   0.010
 0196   158  14.020   0.850   0.330
 0199   158  13.680   0.960   0.170
 0200   158  11.260   0.560  -0.020
 0201   158  13.940   0.780   0.390
 0202   158  12.410   0.430   0.280
 0203   158  14.680   0.960   0.240
 0204   158  12.620   1.070   0.870
 0205   158  13.950   0.800   0.190
 0206   158  14.000   0.740   0.330
 0207   158  14.960   1.110   0.260
 0208   158  13.740   1.130   0.320
 0210   158  12.620   0.540  -0.080
 0211   158  14.270   0.880   0.440
 0213   158  13.720   0.660   0.120
 0214   158  13.120   0.700         
 0216   158  11.860   0.260   0.140
 0217   158  10.520   0.300   0.130
 0218   158   7.940   0.490  -0.410
 0219   158  13.350   0.820   0.630
 0221   158  14.140   0.940   0.740
 0222   158  14.490   0.810   0.440
 0223   158  14.420   0.620   0.280
 0224   158  12.680   0.840   0.490
 0225   158  12.710   0.600   0.050
 0226   158  14.820   0.810   0.440
 0227   158  13.600   0.600  -0.010
 0228   158  12.670   0.670   0.040
 0229   158  11.640   0.380   0.040
 0230   158  14.290   1.220   0.200
 0231   158  14.280   0.910   0.250
 0232   158  11.800   1.260   1.190
 0233   158  14.250   1.110   0.230
 0235   158  11.760   0.550  -0.270
 0236   158  15.080   0.750   0.780
 0237   158  14.710   1.350   0.440
 0238   158  12.990   0.460   0.350
 0240   158  13.980   0.790  -0.010
 0241   158  13.800   0.670   0.180
 0242   158  15.140   1.020   0.570
 0244   158  13.980   0.900   0.500
 0245   158  13.340   0.610   0.090
 0246   158  10.760   0.360   0.120
 0247   158  14.840   0.810   0.160
 0248   158  13.620   0.630   0.090
 0249   158  14.050   0.990   0.510
 0250   158  12.480   0.630   0.010
 0251   158  14.440   0.890   0.350
 0252   158  14.680   0.700   0.280
 0253   158  12.050   0.590         
 0254   158  14.470   0.910   0.510
 0255   158  14.410   0.800   0.180
 0256   158  14.300   0.500   0.560
 0257   158  13.220   0.830   0.560
 0258   158  12.980   0.580   0.130
 0259   158  11.960   0.520  -0.050
 0260   158  14.820   0.830   0.310
 0261   158  12.130   0.530  -0.220
 0262   158  11.270   1.070   0.980
 0263   158  10.650   0.260   0.060
 0264   158  15.270   0.870   1.340
 0265   158  12.450   0.720   0.290
 0266   158  13.740   0.800   0.530
 0267   158  14.450   0.720   0.360
