  No    Ref    V       B-V     U-B

 0002   229   7.050   0.920   0.050
 0003   229   7.230   1.150   1.240
 0004   229   8.600   0.810  -0.130
 0005   229   9.650   0.860  -0.120
 0006   229  10.060   0.260   0.010
 0007   229   9.960   0.460   0.010
 0008   229  10.310   0.200   0.040
 0011   229  10.490   0.320   0.130
 0013   229  10.430   0.830  -0.140
 0014   229  10.470   0.800  -0.240
 0015   229  10.970   0.560   0.020
 0016   229  10.650   0.800  -0.160
 0018   229  10.820   0.750  -0.200
 0020   229  10.990   1.170   1.280
 0021   229  11.870   0.710  -0.170
 0023   229  11.810   1.100   1.120
 0024   229  11.740   0.820  -0.130
 0025   229  11.530   0.940  -0.060
 0026   229  12.390   0.550  -0.030
 0027   229  11.680   1.030   0.040
 0028   229  12.240   0.790  -0.070
 0030   229  12.890   0.880   0.170
 0031   229  12.310   1.430   1.590
 0032   229  12.520   0.840  -0.090
 0034   229  12.730   0.900  -0.030
 0035   229  12.830   0.950   0.810
 0036   229  13.000   0.740   0.040
 0037   229  12.710   0.820  -0.020
 0038   229  12.950   0.800   0.020
 0039   229  13.170   0.780  -0.020
 0040   229  12.980   0.940   0.020
 0043   229  13.320   0.670   0.140
 0044   229  13.170   0.760   0.180
 0045   229  13.290   0.790   0.650
 0046   229  13.470   0.920   0.210
 0047   229  12.740   1.950   2.570
 0048   229  13.550   0.900   0.140
 0050   229  14.040   0.940   0.400
 0051   229  14.270   0.840   0.380
 0052   229  14.140   0.860   0.280
 0053   229  13.870   0.940   0.340
 0054   229  13.100   1.000   0.020
 0120   229  12.860   0.510   0.290
 0121   229  13.560   1.010   0.270
 0122   229  14.190   1.040   0.340
 0123   229  12.940   0.670   0.230
 0124   229  11.860   0.510   0.070
 0126   229  13.320   0.860   0.650
 0172   229  13.890   0.900   0.250
 0173   229  14.320   0.820   0.340
 0174   229  14.600   0.830   0.340
 0175   229  14.720   0.950   0.610
 0177   229  14.790   0.970   0.520
 0178   229  14.880   0.910   0.410
 0179   229  13.380   1.080   0.120
 0180   229  13.520   0.840   0.230
 0183   229  13.760   0.730   0.230
 0184   229  13.790   1.040   0.810
 0188   229  13.990   0.780   0.170
 0189   229  14.100   0.690   0.220
